"","Nimi","Punktid15","Punktid16","Punktid17","Punktid18","pkokku"
"280","CSENIA (2008)","5","69.5","57","99",230.5
"329","CAVALIER (2010)","3","67","145.5","14",229.5
"135","WARLOCK (2009)","28","18","52.2","129",227.2
"163","FABRIANO B (2010)","19","0","63","139.5",221.5
"881","COSIDOS VICTORY (2010)","0","0","0","221",221
"41","UPPERCUT (2002)","122.5","71","26","0",219.5
"43","CUMBERLAND (2005)","121.25","76","22","0",219.25
"45","CATERO (2003)","119","98","0","0",217
"523","FALKENFEE BN (2010)","0","103","111","0",214
"49","CHARMING (2007)","112","13","87","0",212
"530","ULMO 6B (2009)","0","56","104.5","51",211.5
"161","RAVEN (2008)","20","52.2","59","79.5",210.7
"172","A CARTE D´OR (2010)","16","61","53","77",207
"702","HARDCASE (2007)","0","0","206","0",206
"715","GWENNA N (2011)","0","0","44","161.35",205.35
"63","PALOMO TT (2009)","83","30","92","0",205
"708","COOLMAN (2007)","0","0","65","138",203
"882","FARINO (2010)","0","0","0","200",200
"473","BARON ABRUKA (2010)","0.5","19","81","99",199.5
"617","QUINCE (2012)","0","4","37","157.65",198.65
"461","SAM (2010)","1","66","110.5","18",195.5
"107","AMOR KARENA (2009)","40","49.5","66.8","36.5",192.8
"221","QUICK TIME JP (2011)","9.5","10","110","62",191.5
"209","THOBIAS LAUWES FOREVER (2000)","11","48.5","59.5","72",191
"115","LIBERTY D'ESTELLA (2004)","36","149","0","0",185
"547","QIU DE TORIEL (2012)","0","25.2","122","37",184.2
"429","CAPPUCCINO (2007)","1","181.5","0","0",182.5
"127","DARWIN (2008)","30","144","8","0",182
"192","CHICA CIRONE (2007)","12.5","15.5","146.4","4",178.4
"53","CALCYL (2001)","103.5","0","73","0",176.5
"544","SALOMON (2011)","0","31","64","80.6",175.6
"652","ROKOKO (2007)","0","2","93.5","79.2",174.7
"522","LITTLE JOHN (2008)","0","105.9","44","23",172.9
"86","ENVOQUE WV (2009)","55","62.2","54","0",171.2
"819","HAPPYGIRL G (2012)","0","0","4","166.6",170.6
"142","SOLEIL`S CASPER (2005)","25","60","22","63",170
"194","GENIUS (2011)","12","79","78","0",169
"30","VINSKI TT (2007)","153","0","12","0",165
"120","SPARTA (2010)","32","129","0","0",161
"527","MONEYPENNY (2009)","0","61","97","0",158
"231","PAHHE (2005)","8.5","37.75","75.4","35",156.65
"29","DOLANDA (2008)","156","0","0","0",156
"87","EXKILLER (2010)","55","13","59","29",156
"635","CARLSON (2009)","0","2","27","126.25",155.25
"129","SPA (2004)","30","63","59.8","0",152.8
"32","SOPRANIST K (2010)","152","0","0","0",152
"541","RUUDI (2010)","0","33","79","38",150
"496","PERLAS (2007)","0.5","20","99","29",148.5
"302","CASH FREE (2007)","4","64","79","0",147
"105","AWARD (2009)","41","105","0","0",146
"164","ALBERT (2007)","18","25","101","0",144
"70","TENOR (2009)","75","53","13","0",141
"543","HUGO V (2010)","0","31","110","0",141
"110","SUNSHINE (2008)","38.5","99","3","0",140.5
"174","CASHMIR (2008)","16","84","14","25",139
"67","VERSO DE LEE (2003)","80","58","0","0",138
"385","FLEURANSE V/D RIETHANDEI (2010)","2","40","91","5",138
"562","CHARMILLY (2004)","0","17.5","76","41",134.5
"414","DONNETTE (2004)","1.5","22.5","11.8","97",132.8
