"","Nimi","Punktid15","Punktid16","Punktid17","Punktid18","pkokku"
"178","SHERLOCK (2012, SP)","0","0","19","0",19
"199","AFRICANA (2002, SP)","0","0","6","13",19
"86","MERCY (2010, SP)","1.5","10","0","7",18.5
"140","VOLLI (2011, SP)","0","4","14","0",18
"150","MARU MISSY (2011, VP)","0","2","0","16",18
"193","MONOS QUE (2012, VP)","0","0","8","10",18
"221","WILHELMINA (2010, VP)","0","0","0","18",18
"38","SALLA (2004, SP)","9","6","2","0",17
"67","MIIMIKA (1999, SP)","3","14","0","0",17
"180","COIS CUAIN (2012, SP)","0","0","16","1",17
"182","OFELIA (2009, SP)","0","0","15","2",17
"71","MAUR (1999, SP)","2.5","14","0","0",16.5
"82","O`BERRY (2010, SP)","2","3","10","1",16
"222","ASVA OMON (2013, SP)","0","0","0","16",16
"223","TESKO (2011, SP)","0","0","0","16",16
"36","MARI (2004, VP)","10","4","1","0",15
"48","TAS- WAPS (2001, SP)","7","8","0","0",15
"224","MÄNDY (2013, VP)","0","0","0","15",15
"185","MC GOOD BOY (2013, SP)","0","0","12.2","2",14.2
"51","RIKO SILVER (2004, SP)","6","7","1","0",14
"184","TRALLA (2008, SP)","0","0","13","0",13
"225","HUBBA BUBBA (2009, SP)","0","0","0","13",13
"45","BAMBI (2004, VP)","7","0","5","0",12
"91","HORNETTE (2009, SP)","1","0","11","0",12
"123","ROSANNA (1998, VP)","0","12","0","0",12
"127","KARDO (2004, SP)","0","7","5","0",12
"186","SLANGENBURG'S JASMIJN (2008, SP)","0","0","11.5","0",11.5
"148","KARL XII (2007, SP)","0","2","9","0",11
"207","JOYCE (2012, VP)","0","0","2","9",11
"226","ROMANESCA (2012, SP)","0","0","0","11",11
"188","TIARA (2012, VP)","0","0","9.6","1",10.6
"106","RAPUNTCEL (2011, SP)","0.5","7","0","3",10.5
"59","TUTIS (2007, SP)","4","6","0","0",10
"128","MOLBERTO (2006, SP)","0","7","3","0",10
"227","PÕNTS (2011, VP<130)","0","0","0","10",10
"40","HEINO (2007, VP)","8.5","1","0","0",9.5
"109","SOFA (2009, SP)","0.5","9","0","0",9.5
"97","TEKKOR (2004, SP)","1","8","0","0",9
"189","HESTIA (2005, SP)","0","0","9","0",9
"124","MON LUCKY (2010)","0","8","0","0",8
"132","MENU (2007, SP)","0","6","2","0",8
"228","KAMANE (2006, SP)","0","0","0","8",8
"50","KUKAS (2007, VP)","6","1.8","0","0",7.8
"53","TARAPITA (2007, SP)","5.5","1","1","0",7.5
"93","ONTA RA (2009)","1","6","0","0",7
"126","ANAKEE (1997, SP)","0","7","0","0",7
"158","RHEA (2007, SP)","0","1","6","0",7
"198","VERDI (2012)","0","0","7","0",7
"72","REMY MARTIN (2008, SP)","2.5","1","2","1",6.5
"129","GETTO RA (2010)","0","6","0","0",6
"130","HESPEROS (2004, VP)","0","6","0","0",6
"131","MAATRIKS (2011)","0","6","0","0",6
"133","MOONA (2010, SP)","0","6","0","0",6
"134","TARKA (2011)","0","6","0","0",6
"135","VIISER (2011)","0","6","0","0",6
"137","TUUDUR (2000, SP)","0","5","1","0",6
"138","HERR HUGO (2007, SP)","0","4","0","2",6
"200","RAIGO (2008, SP)","0","0","6","0",6
"201","VIIKING (2006, SP)","0","0","6","0",6
"229","ANELLA (2011, SP)","0","0","0","6",6
"230","FANTA (2012, VP)","0","0","0","6",6
"85","MANNY (2010, VP<130)","1.5","2","2","0",5.5
"54","FESTA (2002, VP)","5","0","0","0",5
"202","RIO-MOSKITO (2002, VP)","0","0","5","0",5
"211","ANETTE (2013)","0","0","1","4",5
"213","LISETTE (2005, SP)","0","0","1","4",5
"58","RANNE (2009)","4","0","0","0",4
"60","VIKTOORIA (2002, SP)","4","0","0","0",4
"68","SINILIND (2008, VP)","3","1","0","0",4
"139","TEPSI (2009, SP)","0","4","0","0",4
"141","WENDY (2003, VP)","0","4","0","0",4
"154","MEERI (2012)","0","1","3","0",4
"203","AXEL (2001, SP)","0","0","4","0",4
"204","MELODY J (2013, SP)","0","0","4","0",4
"231","HORTON (2013, SP)","0","0","0","4",4
"61","MANGO (2006, VP<130)","3.5","0","0","0",3.5
"63","AUTOR (2010)","3","0","0","0",3
"64","LIKUS (2006, VP<130)","3","0","0","0",3
"65","LUCKY FREEDOM (2010)","3","0","0","0",3
"69","VANNAS (2010)","3","0","0","0",3
"70","VILANDRA (2006, VP)","3","0","0","0",3
"144","TARSON (2001, VP)","0","3","0","0",3
