"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"CAG";"ConAgra Foods Inc.";"Consumer Staples";39.55;0.08;128061;1.42;0.8
"CAH";"Cardinal Health Inc.";"Health Care";77.54;-0.35;229116;4.13;1.8
"CAT";"Caterpillar Inc.";"Industrials";93.01;0.11;190656;-0.12;3.08
"CB";"Chubb Limited";"Financials";130.8582;0.0216;36829;8.87;2.76
"CBG";"CBRE Group";"Real Estate";31.05;0.88;22102;1.45;NA
"CBS";"CBS Corp.";"Consumer Discretionary";63.71;0.31;100656;3.56;0.72
"CCI";"Crown Castle International Corp.";"Real Estate";87.99;0.38;27535;0.95;3.8
"CCL";"Carnival Corp.";"Consumer Discretionary";55.523;-0.121;144088;3.72;1.4
"CELG";"Celgene Corp.";"Health Care";116.312;0.834;403257;2.49;NA
"CERN";"Cerner";"Health Care";53.27;0.64;94894;1.89;NA
"CF";"CF Industries Holdings Inc";"Materials";34.825;-0.329;217352;0.3;1.2
"CFG";"Citizens Financial Group";"Financials";35.46;0.31;323546;1.97;0.56
"CHD";"Church & Dwight";"Consumer Staples";47.73;-0.21;79612;1.74;0.71
"CHK";"Chesapeake Energy";"Energy";6.18;0.98;3015594;-33.88;0
"CHRW";"C. H. Robinson Worldwide";"Industrials";76.02;-0.14;27834;3.59;1.8
"CHTR";"Charter Communications";"Consumer Discretionary";325.49;-0.07;19449;10.88;NA
"CI";"CIGNA Corp.";"Health Care";145.684;-1.458;146864;7.19;0.04
"CINF";"Cincinnati Financial";"Financials";68.6361;-2.4224;51628;3.89;2
"CL";"Colgate-Palmolive";"Consumer Staples";66.59;0;152303;2.72;1.56
"CLX";"The Clorox Company";"Consumer Staples";127.08;0.02;49600;4.99;3.2
"CMA";"Comerica Inc.";"Financials";68.1;0.52;36076;2.68;0.92
"CMCSA";"Comcast A Corp";"Consumer Discretionary";74.81;0.16;267960;3.57;0.63
"CME";"CME Group Inc.";"Financials";117.006;0.374;61976;4.53;2.4
"CMG";"Chipotle Mexican Grill";"Consumer Discretionary";405.96;0.75;28898;0.77;NA
"CMI";"Cummins Inc.";"Industrials";150.32;3.19;261562;6.88;4.1
"CMS";"CMS Energy";"Utilities";42.87;-0.07;79165;1.98;1.33
"CNC";"Centene Corporation";"Health Care";68.758;0.128;85049;2.715;NA
"CNP";"CenterPoint Energy";"Utilities";26.43;0.04;113639;-0.41;1.07
"COF";"Capital One Financial";"Financials";87.45;0.36;107202;6.89;1.6
"COG";"Cabot Oil & Gas";"Energy";23.625;0.106;240261;-0.53;0.08
"COH";"Coach Inc.";"Consumer Discretionary";37.79;0.85;150867;1.82;1.35
"COL";"Rockwell Collins";"Industrials";90.09;-0.1;34570;5.59;1.32
"COO";"The Cooper Companies";"Health Care";190.26;0.69;4769;5.59;0.06
"COP";"ConocoPhillips";"Energy";49.81;0.42;379947;-2.91;1.06
"COST";"Costco Co.";"Consumer Staples";169.13;0.42;107697;5.48;1.8
"COTY";"Coty, Inc";"Consumer Staples";18.36;-8.38;3235305;0.09;0.5
"CPB";"Campbell Soup";"Consumer Staples";63.89;0.77;76433;2.13;1.4
"CRM";"Salesforce.com";"Information Technology";81.325;0.774;287639;0.295;NA
"CSCO";"Cisco Systems";"Information Technology";31.3599;0.2875;1313292;2.09;1.04
"CSRA";"CSRA Inc.";"Information Technology";30.75;1.49;48272;0.66;0.4
