"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"A";"Agilent Technologies Inc";"Health Care";71.25;-2.1694381;1955697;2.1;0.528
"AAL";"American Airlines Group";"Industrials";52.1;-3.3036425;5109361;3.9;0.4
"AAP";"Advance Auto Parts";"Consumer Discretionary";113.93;-2.8646948;1092333;4.763;0.24
"AAPL";"Apple Inc.";"Information Technology";160.5;-4.3390145;86593825;9.7;2.46
"ABBV";"AbbVie Inc.";"Health Care";115.17;-1.0056715;7184413;3.3;2.63
"ABC";"AmerisourceBergen Corp";"Health Care";96.02;-3.2933872;1660267;1.64;1.46
"ABT";"Abbott Laboratories";"Health Care";61.69;-0.7880375;12346542;0.271;1.075
"ACN";"Accenture plc";"Information Technology";156.9;-2.2186294;2183611;5.642;2.54
"ADBE";"Adobe Systems Inc";"Information Technology";195.64;-1.8758178;2813785;3.38;NA
"ADI";"Analog Devices, Inc.";"Information Technology";89.11;-2.7714138;2922619;2.07;1.8
"ADM";"Archer-Daniels-Midland Co";"Consumer Staples";41.43;-2.4258099;3016081;2.136;1.26
"ADP";"Automatic Data Processing";"Information Technology";118.57;-1.5362884;2903751;3.87;2.34
"ADS";"Alliance Data Systems";"Information Technology";249.91;-2.800351;441101;14.1;2.08
"ADSK";"Autodesk Inc";"Information Technology";111.64;-3.4005365;1808333;-2.576;NA
"AEE";"Ameren Corp";"Utilities";54.89;-0.5796046;1440562;2.512;1.76
"AEP";"American Electric Power";"Utilities";67.75;-0.1326597;2800181;3.889;2.39
"AES";"AES Corp";"Utilities";11.12;-3.388361;10120041;-1.166;0.47
"AET";"Aetna Inc";"Health Care";185;-1.2754146;2199354;5.677;2
"AFL";"AFLAC Inc";"Financials";88.95;-0.8250702;2348537;10.96;1.74
"AGN";"Allergan, Plc";"Health Care";172.51;-3.377394;3388432;-22.133;2.1
"AIG";"American International Group, Inc.";"Financials";63.04;-1.7609432;4294412;-2.581;1.28
"AIZ";"Assurant Inc";"Financials";91.95;-1.1927795;547787;4.244;2.12
"AIV";"Apartment Investment & Management";"Real Estate";40.55;-0.6127451;1829187;1.96;1.46
