"","V1","V2","V3"
"2538","Bingu wa Mutharika",2012,1532
"2539","Ferdinand Alexander Porsche",2012,785
"2540","Tiit Kiken",2012,829
"2541","George Wilberforce Kakoma",2012,571
"2542","Mark Lenzi",2012,647
"2543","Ahmed Ben Bella",2012,1652
"2544","Teet Kallasvee",2012,1082
"2545","Inge Bråten",2012,864
"2546","Malle Agabuð",2012,212
"2547","Piermario Morosini",2012,1239
"2548","Murray Rose",2012,681
"2549","Toomas Taimla",2012,2388
"2550","Uno Anton",2012,1227
"2551","Valeri Vassiljev",2012,769
"2552","Kimmo Kaivanto",2012,674
"2553","Richard Nixoni",2012,NA
"2554","Erast Parmasto",2012,4262
"2555","Helga Kõrge",2012,988
"2556","Akivo Lenzner",2012,1445
"2557","Tiit Veeber",2012,3482
"2558","Matilde Camus",2012,761
"2559","Vilma Raudsepp",2012,496
"2560","Sven-Allan Sagris",2012,1464
"2561","Alexander Dale Oen",2012,966
"2562","Jorge Illueca",2012,793
"2563","Silvia Laidla",2012,5940
"2564","Beastie Boys",2012,2408
"2565","Carl XVI Gustafi",2012,NA
"2566","Laine Mesikäpp",2012,2492
"2567","Tartu Ülikooli",2012,NA
"2568","Aatos Erkko",2012,685
"2569","Silvia Oja",2012,1226
"2570","Tartu Ülikooli",2012,NA
"2571","Maurice Sendak",2012,2009
"2572","Rein Zobel",2012,2476
"2573","Pekka Marjamäki",2012,537
"2574","Donald Dunn",2012,966
"2575","Carlos Fuentes",2012,1872
"2576","Andrei Mõlnikov",2012,745
"2577","Luciano Pavarotti",2012,7176
"2578","Jon Istad",2012,786
"2579","Warda Al-Jazairia",2012,912
"2580","Donna Summer",2012,3029
"2581","Dietrich Fischer-Dieskau",2012,1479
"2582","Svenn Stray",2012,732
"2583","Robin Gibb",2012,2998
"2584","‘Abd al-Bâsi<U+0163> al-Miqra<U+1E29>î",2012,677
"2585","Charlie Chaplini",2012,NA
"2586","Clark Gable",2012,3528
"2587","Edoardo Mangiarotti",2012,829
"2588","Laine Toomsalu",2012,498
"2589","Vello Orumets",2012,12719
"2590","Tartu Ülikooli",2012,NA
"2591","Kaneto Shindô",2012,863
"2592","Martin Kutman",2012,1413
"2593","Andrew Huxley",2012,2387
"2594","Kiira Kahn",2012,1746
"2595","Kathryn Joosten",2012,1205
"2596","Eduard Hill",2012,2254
"2597","Ray Bradbury",2012,5256
"2598","Avo Keerend",2012,2176
"2599","katseklaasis viljastatud",2012,NA
"2600","Vladimir Krutov",2012,976
"2601","Phillip Tobias",2012,744
"2602","Hubert Veldermann",2012,1887
"2603","Georges Mathieu",2012,747
"2604","Alex Milits",2012,1261
"2605","Teófilo Stevenson",2012,1321
"2606","Elinor Ostrom",2012,2729
"2607","Roger Garaudy",2012,2742
"2608","Günther Domenig",2012,1641
"2609","Nils Karlsson",2012,2290
"2610","Hans Sissas",2012,1308
"2611","Eesti Ema monumendi",2012,NA
"2612","Raivo Järvi",2012,12467
"2613","Rodney King",2012,2635
"2614","Heinrich IV",2012,1172
"2615","Pieter Bergsma",2012,553
"2616","Gu Chaohao",2012,631
"2617","Heino Kruus",2012,2140
"2618","Nora Ephron",2012,1310
"2619","Yits'<U+1E96>ak Shamir",2012,1849
"2620","Andy Griffith",2012,1058
"2621","Kalev Kalkun",2012,1247
"2622","Brita",2012,NA
"2623","Ernest Borgnine",2012,2946
"2624","Jerzy Kulej",2012,787
"2625","Sixten Jernberg",2012,1070
"2626","Celeste Holm",2012,865
"2627","Stephen Covey",2012,1543
"2628","Jon Lord",2012,1663
"2629","Raimund Hagelberg",2012,2413
"2630","Günther Maleuda",2012,669
"2631","Ivar Puura",2012,2176
"2632","Susanne Lothar",2012,740
"2633","Bogdan Stupka",2012,1307
"2634","Maria Emanuel",2012,617
"2635","John Treloar",2012,478
"2636","Sally Ride",2012,1709
"2637","John Atta Mills",2012,1285
"2638","Mary Tamm",2012,1196
"2639","Geoffrey Hughes",2012,1187
"2640","Madis Õunapuu",2012,950
"2641","Niina Arðas",2012,635
"2642","Boriss Pasternaki",2012,NA
"2643","Gore Vidal",2012,2076
"2644","Bernard Lovell",2012,1029
"2645","Marvin Hamlisch",2012,1257
"2646","Mart Keersalu",2012,814
"2647","Jaan Tänavots",2012,528
"2648","Heino Müller",2012,1483
"2649","Ardu Treinbuk",2012,151
"2650","Olaf Kuuli",2012,1901
"2651","Svetozar Gligoriã",2012,1141
"2652","Sergei Kapitsa",2012,1355
"2653","Harry Harrison",2012,1375
"2654","William Windom",2012,626
"2655","Scott McKenzie",2012,785
"2656","Tony Scott",2012,2255
"2657","Phyllis Diller",2012,925
"2658","Meles Zenawi",2012,1339
"2659","Veljo Ranniku",2012,1248
"2660","Nikolai Kormaðov",2012,2971
"2661","Jerry Nelson",2012,735
"2662","Enn Uusen",2012,652
"2663","Neil Armstrong",2012,10194
"2664","Igor Kvaða",2012,1015
"2665","Kaupo Elberg",2012,844
"2666","Sergei Sokolov",2012,2740
"2667","Taimi Piin-Aaspõllu",2012,563
"2668","Michael Clarke Duncan",2012,2343
"2669","Rita Loel",2012,1164
"2670","Francisco Fern<U+00E1>ndez",2012,516
"2671","Aleksandr Beljavski",2012,1211
"2672","Mârtiòð Roze",2012,620
"2673","Ragnhild Alexandra Lorentzen",2012,NA
"2674","Santiago Carrillo",2012,978
"2675","Voldemar Pahkla",2012,854
"2676","Enn-Tiit Päärt",2012,819
"2677","Pavel Gratðov",2012,1776
"2678","jetisportlane",2012,NA
"2679","Andy Williams",2012,2428
"2680","Eda Liin",2012,691
"2681","Ellen Hansen",2012,1391
"2682","Hans Hindpere",2012,3450
"2683","Michael O'Hare",2012,745
"2684","The New York Times",2012,10177
"2685","Falklandi sõjas",2012,NA
"2686","Hebe Camargo",2012,974
"2687","Hugo Verpoest",2012,778
"2688","Enn Seppet",2012,1637
"2689","Barbara Ann Scott",2012,937
"2690","Sirje Keva",2012,957
"2691","Eric Hobsbawm",2012,1766
"2692","Heinrich Schultz",2012,1623
"2693","Moshe Sanbar",2012,612
"2694","Manhattani projekti",2012,NA
"2695","Eduard Mirzojan",2012,127
"2696","Claude Pinoteau",2012,702
"2697","John Jamieson Carswell Smart",2012,1305
"2698","Paddy Roy Bates",2012,1721
"2699","Sealandi",2012,NA
"2700","Luna Alcalay",2012,901
"2701","Heino Torga",2012,2780
"2702","Ameerika jalgpallur",2012,NA
"2703","Hergi Karik",2012,2216
"2704","Erik Moseholm",2012,777
"2705","Lembit Aadusoo",2012,607
"2706","BMX",2012,4917
"2707","Norodom Sihanouk",2012,2235
"2708","Jaagup Alaots",2012,980
"2709","Hilve Rebane",2012,1225
"2710","Émile Allais",2012,431
"2711","Sylvia Kristel",2012,2455
"2712","Henn-Jüri Uibopuu",2012,1245
"2713","Arthur Jensen",2012,1154
"2714","Russell Means",2012,1039
"2715","Björn Sieber",2012,494
"2716","Illar Hallaste",2012,4465
"2717","Endel Reinpõld",2012,591
"2718","Mladen Kiselov",2012,1315
"2719","Konstantin Võrupajev",2012,435
"2720","Tarvo Rajasalu",2012,1785
"2721","Clive Dunn",2012,882
"2722","Nikolai Preiman",2012,1128
"2723","Milan Èiè",2012,806
"2724","Rafael Amos",2012,1043
"2725","Rein Etruk",2012,1880
"2726","Inara Õun",2012,770
"2727","Eha Lättemäe",2012,3178
"2728","Ruth Tulving",2012,1368
"2729","Juhan Simonson",2012,584
"2730","Maie Toompere",2012,4689
"2731","Boriss Strugatski",2012,3968
"2732","Aleksandr Davõdov",2012,481
"2733","Kaspars Astaðenko",2012,549
"2734","Algirdas Ðocikas",2012,566
"2735","Arne Otter",2012,3675
"2736","Jan Trefulka",2012,495
"2737","Aleksandra Juozapënaitë-Eesmaa",2012,2632
"2738","Raivo Tamkivi",2012,1025
"2739","Nelson Prud<U+00EA>ncio",2012,502
"2740","Ilmar Sulg",2012,922
"2741","Kuno Pajula",2012,2431
"2742","Veljo Kalep",2012,1250
"2743","Katrin Freiman",2012,606
"2744","Leenu Siimisker",2012,975
"2745","Jorma Limmonen",2012,576
"2746","Lauri Schmidt",2012,998
"2747","Tõnu Ojavee",2012,598
"2748","Besse Cooper",2012,697
"2749","Oscar Niemeyer",2012,3099
"2750","Ignatios IV",2012,657
"2751","Liane Polberg",2012,685
"2752","Rein Hanson",2012,1860
"2753","Jenni Rivera",2012,966
"2754","Albert Hirschman",2012,950
"2755","Iâjuddîn Âhmed",2012,840
"2756","Galina Viðnevskaja",2012,1933
"2757","Ravi Shankar",2012,2176
"2758","Heli Martin",2012,931
"2759","Hannes Oja",2012,1355
"2760","Daniel Inouye",2012,1082
"2761","Toomas Jõesaar",2012,2294
"2762","Frank Dycus",2012,653
"2763","Prits Liblik",2012,2200
"2764","Harald-Adam Velner",2012,971
"2765","Norman Schwarzkopf",2012,1552
"2766","Rita Levi-Montalcini",2012,2568
"2767","Carl Woese",2012,2319
"2768","Artur-Mihail Rätsep",2012,573
"2769","Geert van Dijk",2012,863
"2770","Edvin Hiedel",2012,1721
"2771","Sündmused maailmas",2013,1775
"2772","Marian Wantoùa",2013,321
"2773","Patti Page",2013,1110
"2774","Barbara Werle",2013,628
"2775","Henno Sillaste",2013,1045
"2776","Vello Saatpalu",2013,3094
"2777","Urmas Kokassaar",2013,3538
"2778","Tõnu Väärtnõu",2013,1325
"2779","Kenojuak Ashevak",2013,854
"2780","Anto Juske",2013,1461
"2781","James M. Buchanan",2013,1559
"2782","Sergei Issakov",2013,2143
"2783","Aaron Swartz",2013,2902
"2784","Anneliis Simm",2013,904
"2785","Raivo J. Raave",2013,2591
"2786","Conrad Bain",2013,922
"2787","Aino Jõgi",2013,707
"2788","John Thomas",2013,257
"2789","Ivo Varts",2013,3898
"2790","Noé Hern<U+00E1>ndez",2013,535
"2791","Anu Põder",2013,3082
"2792","Ilmar Aluvee",2013,1557
"2793","Aime Lutsar",2013,1293
"2794","Hans Massaquoi",2013,812
"2795","Taihô Kôki",2013,583
"2796","Michael Winner",2013,1353
"2797","Mall Krigul",2013,586
"2798","Acer Nethercott",2013,504
"2799","Abel Nagelmaa",2013,2088
"2800","Oskar Feltsman",2013,1256
"2801","Harry Rehe",2013,1835
"2802","Peter Gilmore",2013,676
"2803","Rainer Härm",2013,2390
"2804","Egil Hovland",2013,1174
"2805","Chokri Bela<U+00EF>d",2013,916
"2806","Jürgen Untermann",2013,582
"2807","Rem Vjahhirev",2013,627
"2808","Tibor Zs<U+00ED>ros",2013,411
"2809","Helgi Peeba",2013,856
"2810","Ronald Dworkin",2013,1947
"2811","Todor Kolev",2013,746
"2812","Eric Ericson",2013,1344
"2813","Grigori Pomerants",2013,1344
"2814","Avo Tints",2013,1396
"2815","Mindy McCready",2013,1037
"2816","Otfried Preußler",2013,2739
"2817","Vladimir Klotðkov",2013,575
"2818","Robert Coleman Richardson",2013,2620
"2819","Johannes Pirita",2013,1685
"2820","Hasse Jeppson",2013,795
"2821","Heino Kiik",2013,11922
"2822","Marju Mikiver",2013,544
"2823","Heikki Siren",2013,1608
"2824","Kuulo Vimmsaare",2013,1215
"2825","Imants Ziedonis",2013,1021
"2826","Horre Zeiger",2013,1471
"2827","Donald Glaser",2013,3643
"2828","Dieter Pfaff",2013,1447
"2829","Hugo Ch<U+00E1>vez",2013,4367
"2830","Elmar Tampõld",2013,1234
"2831","Damiano Damiani",2013,1041
"2832","Tiina Jaaksoo",2013,168
"2833","Max Jakobson",2013,1588
"2834","printsess Lilian",2013,NA
"2835","Kai Laitinen",2013,809
"2836","Malachi Throne",2013,577
"2837","Harri Mõtsnik",2013,1305
"2838","Mirja Hietamies-Eteläpää",2013,559
"2839","Aksel Tiideberg",2013,607
"2840","Elmar Matt",2013,1111
"2841","Margarita Miglau",2013,871
"2842","Ain Eidast",2013,1106
"2843","Tatjana Salmre",2013,560
"2844","Arno-Toomas Pihlak",2013,747
"2845","Jillur Rahmân",2013,739
"2846","Otto Borch",2013,514
"2847","Pietro Mennea",2013,2771
"2848","Chin<U+1EE5>a Achebe",2013,1509
"2849","Lehte Mark",2013,1333
"2850","Boriss Berezovski",2013,2967
"2851","Hjalmar Andersen",2013,1761
"2852","Richard Griffiths",2013,1219
"2853","Soraya Jiménez",2013,509
"2854","Günther Kleiber",2013,1114
"2855","Erik Ellmann",2013,209
"2856","Valeri Zolotuhhin",2013,1384
"2857","ETA",2013,2999
"2858","Nicolae Martinescu",2013,724
"2859","Moses Blah",2013,525
"2860","Lembit Kuhlberg",2013,1662
"2861","Karen Muir",2013,1086
"2862","Hilja Kulles",2013,868
"2863","Imbi Ploompuu",2013,1093
"2864","Roger Ebert",2013,1952
"2865","Miguel Poblet",2013,513
"2866","Kalevi Korpi",2013,545
"2867","Margaret Thatcher",2013,14398
"2868","Sara Montiel",2013,1073
"2869","Annette Funicello",2013,876
"2870","Paolo Soleri",2013,731
"2871","Robert Edwards",2013,2202
"2872","Clorindo Testa",2013,692
"2873","Jonathan Winters",2013,910
"2874","Oleg Ljadov",2013,7816
"2875","Colin Davis",2013,1012
"2876","Harry Shein",2013,1600
"2877","Valdek Pall",2013,1746
"2878","Viktor Þivov",2013,481
"2879","Storm Thorgerson",2013,898
"2880","Olavi Granö",2013,689
"2881","Jüri Sutt",2013,878
"2882","Laine Roht",2013,4168
"2883","Jean-Michel Damase",2013,768
"2884","Vivi Bak",2013,760
"2885","Richie Havens",2013,1113
"2886","Jüri Ruus",2013,1183
"2887","Mare Taagepera",2013,2180
"2888","Lembit Vahesaar",2013,1254
"2889","William L. Guy",2013,488
"2890","George Jones",2013,1145
"2891","August Kõrbe",2013,143
"2892","Jeff Hanneman",2013,1355
"2893","Leida Jürgen",2013,735
"2894","Giulio Andreotti",2013,2165
"2895","Arnold Laugus",2013,920
"2896","Eva Limberg",2013,811
"2897","Valeri Saks",2013,613
"2898","Irina Anniko",2013,770
"2899","Veiko Kaasik",2013,1892
"2900","Emmanuelle Claret",2013,730
"2901","Peep Sürje",2013,2081
"2902","Henrique Rosa",2013,752
"2903","Ivar Kallion",2013,2425
"2904","Jo Benkow",2013,856
"2905","Aleksei Balabanov",2013,1558
"2906","Heinrich Vipper",2013,611
"2907","Ester Lepa",2013,2097
"2908","Evald Tupits",2013,988
"2909","Richard Säägi",2013,930
"2910","Jack Vance",2013,1185
"2911","Viktor Kulikov",2013,2111
"2912","Henry Morgentaler",2013,632
"2913","Esra Rahula",2013,984
"2914","Franca Rame",2013,1430
"2915","Ramón Aguirre Su<U+00E1>rez",2013,454
"2916","Cliff Meely",2013,615
"2917","Mulgrew Miller",2013,620
"2918","Vina Mazumdar",2013,449
"2919","Arqu<U+00ED>medes Herrera",2013,635
"2920","Rituparno Ghosh",2013,676
"2921","Grizelda Kristiò",2013,983
"2922","Jerome Karle",2013,1971
"2923","Therese Raide",2013,1359
"2924","Iain Banks",2013,2375
"2925","Robert Fogel",2013,2395
"2926","Jaakko Wallenius",2013,469
"2927","Jirôemon Kimura",2013,1049
"2928","José Froil<U+00E1>n Gonz<U+00E1>lez",2013,1841
"2929","Gyula Horn",2013,1368
"2930","James Gandolfini",2013,3251
"2931","Vince Flynn",2013,1632
"2932","Ingvar Rydell",2013,670
"2933","Per Ung",2013,917
"2934","Päivo Kasekamp",2013,987
"2935","Henning Larsen",2013,924
"2936","Emilio Colombo",2013,1433
"2937","Alain Mimoun",2013,1056
"2938","Silvi Vrait",2013,11784
"2939","Helju Vasar",2013,1022
"2940","Uusapostliku kiriku",2013,NA
"2941","Gvido Skulte",2013,590
"2942","Bengt Hallberg",2013,649
"2943","Radu Vasile",2013,1031
"2944","Tiiu Argus",2013,712
"2945","Aleksander Müller",2013,5425
"2946","Henni Kallak",2013,895
"2947","Suune Tihane",2013,1559
"2948","Markus Büchel",2013,929
"2949","Pran",2013,988
"2950","Johannes Mitt",2013,856
"2951","Ingeburg Lange",2013,878
"2952","Torbj¸rn Falkanger",2013,682
"2953","Vincenzo Cerami",2013,653
"2954","Andrea Antonelli",2013,1616
"2955","Dennis Farina",2013,1104
"2956","Bernadette Lafont",2013,1044
"2957","Barnaby Jack",2013,855
"2958","Suzanne Krull",2013,945
"2959","Eileen Brennan",2013,1155
"2960","Ilmar Pärtelpoeg",2013,1465
"2961","Mati Mägi",2013,840
"2962","Ülo Kaadu",2013,1873
"2963","Mari Vallisoo",2013,3477
"2964","Ilse-Aurelie Lepikson",2013,809
"2965","Heino Uuetalu",2013,845
"2966","Meeli Truu",2013,1701
"2967","Lea Walter-Berggren",2013,682
"2968","Pille Kangur",2013,995
"2969","Ülo Pihlak",2013,700
"2970","Olev Ehrlich",2013,1010
"2971","Sùawomir Mroýek",2013,2032
"2972","Aarne Tõldsepp",2013,924
"2973","Olev Subbi",2013,4020
"2974","Erik Neutsch",2013,791
"2975","Aet Maasik",2013,1516
"2976","Jetty Paerl",2013,1020
"2977","Aadu Kolk",2013,985
"2978","Mare Rebas",2013,616
"2979","Mihkel Aitsam",2013,4603
"2980","Haivi Raadik",2013,670
"2981","Ellen Grünfeldt",2013,1016
"2982","Seamus Heaney",2013,3669
"2983","David Frost",2013,1271
"2984","Alo Adamson",2013,689
"2985","Ronald Coase",2013,2763
"2986","Boriss Sokolov",2013,453
"2987","August Sikk",2013,1176
"2988","Levon Ananjan",2013,560
"2989","Monika Oit",2013,1041
"2990","Valérie Benguigui",2013,681
"2991","Stanislav Stepaðkin",2013,600
"2992","Guido Sammelselg",2013,2941
"2993","Rochus Misch",2013,1312
"2994","Ilmo Liive",2013,1051
"2995","Marek Ðpil<U+00E1>r",2013,374
"2996","Valjo Masso",2013,750
"2997","Josef N<U+011B>mec",2013,668
"2998","Jimmy Fontana",2013,697
"2999","Otto Sander",2013,882
"3000","Juri Vella",2013,1467
"3001","Délfor Dic<U+00E1>solo",2013,774
"3002","Virve Aruoja",2013,2436
"3003","Aldo Tammpere",2013,449
"3004","Marcel Reich-Ranicki",2013,999
"3005","<U+00C1>lvaro Mutis",2013,1649
"3006","Ardo Juhkov",2013,3240
"3007","Diana Krull",2013,1189
"3008","Salme Parming",2013,652
"3009","Melanie Arrak",2013,1190
"3010","Carl Joachim Classen",2013,863
"3011","Juan Linz",2013,832
"3012","Tom Clancy",2013,328
"3013","Urmas Ingver",2013,734
"3014","Valda Raud",2013,4154
"3015","Edmund Niziurski",2013,1121
"3016","Lembit Tolli",2013,884
"3017","Scott Carpenter",2013,922
"3018","Mar<U+00ED>a de Villota",2013,811
"3019","Ants Sööt",2013,2069
"3020","Viktor Tsõbulenko",2013,811
"3021","Adolf Käis",2013,1858
"3022","Arthur Danto",2013,2576
"3023","Hilja Läti",2013,806
"3024","Lou Reed",2013,4445
"3025","Tadeusz Mazowiecki",2013,1983
"3026","Vaclovas Krutinis",2013,519
"3027","Anne Reintamm-Laantee",2013,523
"3028","<U+1E28>akîmullâh Mehsûd",2013,436
"3029","Målfrid Grude Flekk¸y",2013,711
"3030","Aleksander Igonin",2013,1051
"3031","Leonid Stolovitð",2013,1659
"3032","Vello Kallas",2013,895
"3033","Manfred Rommel",2013,1184
"3034","Maie Kalda",2013,4388
"3035","Kalju Suur",2013,2809
"3036","Helmut Ajango",2013,845
"3037","Kaimo Andresson",2013,814
"3038","Doris Lessing",2013,5120
"3039","Olga Kistler-Ritso",2013,1291
"3040","Vera Ivanko",2013,873
"3041","Krista Kajar",2013,1143
"3042","Juri Jakovlev",2013,2620
"3043","Paul Walker",2013,15422
"3044","Avo Paistik",2013,4159
"3045","Nelson Mandela",2013,12493
"3046","Veeliks Jalakas",2013,3238
"3047","Peeter Mudist",2013,4472
"3048","Józef Kowalski",2013,191
"3049","Eero Kolehmainen",2013,782
"3050","Ako Pärlist",2013,494
"3051","Eleanor Parker",2013,1793
"3052","Heivi Pullerits",2013,1661
"3053","Arda Kullerkupp",2013,658
"3054","Elmar Reinsoo",2013,790
"3055","Abdul Quader Molla",2013,1563
"3056","Peter O'Toole",2013,1896
"3057","Ester Heinaste",2013,969
"3058","Pjotr Bolotnikov",2013,887
"3059","Madis Norvik",2013,1399
"3060","Anne Valge",2013,1313
"3061","Mihhail Kalaðnikov",2013,4070
"3062","Garri Abelev",2013,611
"3063","Silvi Oja",2013,792
"3064","Wojciech Kilar",2013,1167
"3065","Eero Mäntyranta",2013,1443
"3066","Külli Tammik",2013,662
"3067","Bessik Kuduhhov",2013,835
"3068","Sjoerd Huisman",2013,578
"3069","Heinold Okas",2013,909
"3070","James Avery",2013,1123
"3071","Sündmused maailmas",2014,1775
"3072","Tokuo Yamashita",2014,537
"3073","Harald Nugiseks",2014,8145
"3074","Peeter Lokk",2014,830
"3075","Juri Ustimenko",2014,11814
"3076","Artur Proos",2014,818
"3077","baptistivaimulik",2014,NA
"3078","Eusébio",2014,3182
"3079","Jonathan Lowe",2014,936
"3080","Julian Rotter",2014,1500
"3081","Karel Gut",2014,979
"3082","Salme Lohuaru",2014,578
"3083","Tiina Orunuk",2014,755
"3084","Ants Uus",2014,644
"3085","Dale Mortensen",2014,1617
"3086","Aili Aarelaid-Tart",2014,1997
"3087","Henno Uus",2014,607
"3088","Avo Hirvesoo",2014,1711
"3089","Ari'el Sharon",2014,2539
"3090","Gyula Török",2014,466
"3091","Kuno Otsus",2014,1317
"3092","Georgi Markelov",2014,1285
"3093","Rein Tiido",2014,547
"3094","Mart Arold",2014,1249
"3095","Cassandra Lynn Hensley",2014,268
"3096","Aimu Reintam",2014,835
"3097","Edgar Väär",2014,1436
"3098","Udo Kasemets",2014,1110
"3099","Christopher Chataway",2014,1702
"3100","Claudio Abbado",2014,2186
"3101","Martin S. Bergmann",2014,623
"3102","Kaleph Jõulu",2014,1010
"3103","Ants Lang",2014,852
"3104","Aleksander Sünter",2014,1434
"3105","Pete Seeger",2014,1795
"3106","Lembit Saarnits",2014,790
"3107","Vaida",2014,4050
"3108","Henno Kirikmäe",2014,1104
"3109","Lia Rajandi",2014,1864
"3110","Theodore Millon",2014,642
"3111","Hans Jürman",2014,899
"3112","Miklós Jancsó",2014,1147
"3113","Vassili Petrov",2014,1790
"3114","Maximilian Schell",2014,2877
"3115","Gerd Albrecht",2014,745
"3116","Philip Seymour Hoffman",2014,3446
"3117","Richard Bull",2014,850
"3118","Aavo Kimmel",2014,750
"3119","Vladimir Zintðenko",2014,788
"3120","Meelis Säre",2014,1498
"3121","Maicon Pereira de Oliveira",2014,1804
"3122","Gabriel Axel",2014,1198
"3123","Jukk Raudsepp",2014,697
"3124","Jaak Ratassepp",2014,1320
"3125","Shirley Temple",2014,3268
"3126","Stuart Hall",2014,1906
"3127","Alice Babs",2014,1558
"3128","Silvia Airik-Priuhka",2014,1351
"3129","Ralph Waite",2014,929
"3130","Richard M¸ller Nielsen",2014,723
"3131","Jaan Muri",2014,780
"3132","Herbert Blöcker",2014,711
"3133","Jaroslav Krejè<U+00ED>",2014,116
"3134","Antoinette Fouque",2014,652
"3135","S<U+00E1>kis Boul<U+00E1>s",2014,638
"3136","Lembit Tõemäe",2014,686
"3137","Alain Resnais",2014,1673
"3138","August Puuste",2014,688
"3139","Riigivapi teenetemärgi",2014,NA
"3140","Arnold Ilmjärv",2014,728
"3141","Poigo Nuuma",2014,1680
"3142","Helvi Jüssi",2014,648
"3143","Maaja Kallast",2014,2435
"3144","Gunnar Polma",2014,2662
"3145","Nils Horner",2014,656
"3146","Peeter Kern",2014,2021
"3147","Berkin Elvan",2014,1176
"3148","Ahmad Tejan Kabbah",2014,1755
"3149","Vello Helk",2014,2494
"3150","Tony Benn",2014,1136
"3151","Elle Tarik",2014,861
"3152","Andres Tolts",2014,3303
"3153","Gita-Maren Linnaks",2014,1380
"3154","Riina Gerretz",2014,2812
"3155","Adolfo Su<U+00E1>rez",2014,1657
"3156","Carmelo Bossi",2014,677
"3157","Asta Vender",2014,3239
"3158","Tõnis Padu",2014,1231
"3159","Peeter Kirt",2014,2417
"3160","Tiit Kaps",2014,836
"3161","Kent Cochrane",2014,1400
"3162","Guillermo Delgado",2014,638
"3163","Kate O'Mara",2014,829
"3164","Frankie Knuckles",2014,1278
"3165","Claus Arnold",2014,656
"3166","Merimeri Penfold",2014,422
"3167","Jacques Le Goff",2014,2788
"3168","Peedu Ojamaa",2014,2896
"3169","Eesti Reklaamfilmi",2014,NA
"3170","Ramón Cano",2014,518
"3171","Urs Widmer",2014,873
"3172","Silvi Väljal",2014,2836
"3173","Peter Matthiessen",2014,567
"3174","Hille Tänavsuu",2014,3170
"3175","Èedo Vukoviã",2014,537
"3176","The Ultimate Warrior",2014,1108
"3177","Richard Hoggart",2014,1136
"3178","Henri Broms",2014,587
"3179","Dainis Stalts",2014,940
"3180","Héctor Pop Andrés",2014,217
"3181","Ernesto Laclau",2014,2676
"3182","Gunnar Paabo",2014,513
"3183","Ladislav Ballek",2014,1071
"3184","Gyude Bryant",2014,805
"3185","Gabriel Garc<U+00ED>a M<U+00E1>rquez",2014,7354
"3186","Hans Treimann",2014,961
"3187","Erik Schmidt",2014,1808
"3188","Mithat Bayrak",2014,810
"3189","Oswaldo Vigas",2014,515
"3190","Maire Annus",2014,1010
"3191","Erna Kaasik",2014,310
"3192","Tadeusz Róýewicz",2014,1136
"3193","Tito Vilanova",2014,1652
"3194","Aleksandr Astaðkin",2014,536
"3195","Bob Hoskins",2014,1649
"3196","Reuven Feuerstein",2014,727
"3197","Valeri Kalabugin",2014,1463
"3198","Bruno Sõmeri",2014,773
"3199","Aino Iila",2014,824
"3200","Toimi Alatalo",2014,757
"3201","Erich Rein",2014,2351
"3202","Tatjana Samoilova",2014,2308
"3203","Maria Lassnig",2014,762
"3204","Mel Patton",2014,1322
"3205","Hugo Sepp",2014,1145
"3206","Mari Kinsigo",2014,965
"3207","Maarja Simovart",2014,579
"3208","Anthony Villanueva",2014,539
"3209","Malik Bendjelloul",2014,896
"3210","Ludmilla Rass",2014,720
"3211","Nikita Hruðtðovi",2014,NA
"3212","Leonid Breþnevi",2014,NA
"3213","Laurence Goldstein",2014,439
"3214","Nikolai Pastuhhov",2014,641
"3215","Walter Romberg",2014,695
"3216","Wojciech Jaruzelski",2014,2999
"3217","Hillar Lauri",2014,1184
"3218","Maya Angelou",2014,1067
"3219","Sergi Kultðõtskõi",2014,722
"3220","kindralmajor",2014,7
"3221","Henning Carlsen",2014,968
"3222","Winston Churchilli",2014,NA
"3223","Felix Mandre",2014,2866
"3224","Valentin Mankin",2014,765
"3225","Joseph Olita",2014,648
"3226","Jaan Isotamm",2014,4147
"3227","Merike Tatsi",2014,2579
"3228","Erkki Helamaa",2014,623
"3229","Tiiu Oja",2014,1135
"3230","Aleks Raja",2014,581
"3231","Ida Schöpfer",2014,467
"3232","Nad<U+011B>þda Slabihoudov<U+00E1>",2014,638
"3233","Hella Kink",2014,875
"3234","Tartu Ülikooli",2014,NA
"3235","Edmund Bruggmann",2014,542
"3236","Andy Warholi",2014,NA
"3237","Casey Kasem",2014,968
"3238","Mart Jürisoo",2014,1166
"3239","Aksel Mark",2014,2925
"3240","Villem Ahas",2014,910
"3241","Shin Beti",2014,NA
"3242","Valner Krinal",2014,1364
"3243","Aino Huimerind",2014,960
"3244","Walter Kieber",2014,806
"3245","Nina Hoekman",2014,658
"3246","Olev Lugus",2014,1103
"3247","Bobby Womack",2014,939
"3248","Olaf Kibe",2014,661
"3249","Lembit Anton",2014,3475
"3250","Oleg Sapoþnin",2014,3146
"3251","Peeter Saul",2014,11263
"3252","Raivo Lugima",2014,1070
"3253","Jüri Tuulik",2014,9184
"3254","Volodõmõr",2014,NA
"3255","Helmi Puur",2014,3187
"3256","Alfredo Di Stéfano",2014,2377
"3257","Eduard Ðevardnadze",2014,3408
"3258","Rein Karemäe",2014,4962
"3259","Virve Pedari",2014,769
"3260","Mari-Ann Hütt",2014,787
"3261","Elhonen Saks",2014,1571
"3262","Matti Jõe",2014,823
