fare_id,price,currency_type,payment_method,transfers,agency_id
195,1.50,EUR,0,0,273
196,0.40,EUR,0,0,25
197,0.85,EUR,0,0,25
198,0.35,EUR,0,0,25
199,2.05,EUR,0,0,25
200,1.00,EUR,0,0,25
201,0.75,EUR,0,0,25
202,0.80,EUR,0,0,25
203,0.55,EUR,0,0,25
204,0.45,EUR,0,0,25
205,1.05,EUR,0,0,25
206,1.45,EUR,0,0,25
207,1.20,EUR,0,0,25
208,0.50,EUR,0,0,25
209,1.40,EUR,0,0,25
210,0.60,EUR,0,0,25
211,1.50,EUR,0,0,25
212,1.85,EUR,0,0,25
213,1.90,EUR,0,0,25
214,1.70,EUR,0,0,25
215,1.75,EUR,0,0,25
216,1.10,EUR,0,0,25
217,0.70,EUR,0,0,25
218,1.60,EUR,0,0,25
219,1.55,EUR,0,0,25
220,0.90,EUR,0,0,25
221,0.65,EUR,0,0,25
222,1.15,EUR,0,0,25
223,1.25,EUR,0,0,25
224,1.35,EUR,0,0,25
225,0.95,EUR,0,0,25
226,1.80,EUR,0,0,25
227,1.65,EUR,0,0,25
228,2.30,EUR,0,0,25
229,2.00,EUR,0,0,25
230,2.20,EUR,0,0,25
231,2.15,EUR,0,0,25
232,1.30,EUR,0,0,25
233,1.95,EUR,0,0,25
234,0.95,EUR,0,0,100046
235,3.00,EUR,0,0,60
236,2.80,EUR,0,0,60
237,2.70,EUR,0,0,60
238,2.90,EUR,0,0,60
239,2.75,EUR,0,0,60
240,2.95,EUR,0,0,60
241,2.85,EUR,0,0,60
242,1.50,EUR,0,0,100046
243,1.10,EUR,0,0,100046
244,1.80,EUR,0,0,100046
245,1.70,EUR,0,0,100046
246,1.85,EUR,0,0,100046
247,1.75,EUR,0,0,100046
248,1.65,EUR,0,0,100046
249,1.90,EUR,0,0,100046
250,2.80,EUR,0,0,100046
251,2.45,EUR,0,0,100046
252,1.95,EUR,0,0,100046
253,2.35,EUR,0,0,100046
254,2.65,EUR,0,0,100046
255,2.25,EUR,0,0,100046
256,2.05,EUR,0,0,100046
257,2.00,EUR,0,0,100046
258,2.15,EUR,0,0,100046
259,2.20,EUR,0,0,100046
260,2.70,EUR,0,0,100046
261,2.50,EUR,0,0,100046
262,2.10,EUR,0,0,100046
263,2.60,EUR,0,0,100046
264,2.85,EUR,0,0,100046
265,2.95,EUR,0,0,100046
266,2.75,EUR,0,0,100046
267,2.90,EUR,0,0,100046
268,2.55,EUR,0,0,100046
269,2.40,EUR,0,0,100046
270,0.60,EUR,0,0,586
271,0.65,EUR,0,0,586
272,0.80,EUR,0,0,586
273,1.65,EUR,0,0,586
274,0.90,EUR,0,0,586
